team_name;svg_link
AFC Bournemouth;https://upload.wikimedia.org/wikipedia/en/e/e5/AFC_Bournemouth_%282013%29.svg
AFC Sunderland;https://upload.wikimedia.org/wikipedia/sco/7/77/Logo_Sunderland.svg
Aston Villa FC;https://upload.wikimedia.org/wikipedia/en/9/9a/Aston_Villa_FC_new_crest.svg
Barnsley FC;https://upload.wikimedia.org/wikipedia/en/c/c9/Barnsley_FC.svg
Birmingham City;https://upload.wikimedia.org/wikipedia/en/6/68/Birmingham_City_FC_logo.svg
Blackburn Rovers;https://upload.wikimedia.org/wikipedia/en/0/0f/Blackburn_Rovers.svg
Blackpool FC;https://upload.wikimedia.org/wikipedia/en/d/df/Blackpool_FC_logo.svg
Bolton Wanderers;https://upload.wikimedia.org/wikipedia/en/8/82/Bolton_Wanderers_FC_logo.svg
Bradford City AFC;https://upload.wikimedia.org/wikipedia/en/0/04/Bradford_City_AFC_crest.svg
Brentford FC;https://upload.wikimedia.org/wikipedia/en/2/2a/Brentford_FC_crest.svg
Brighton & Hove Albion;https://upload.wikimedia.org/wikipedia/en/d/d0/Brighton_and_Hove_Albion_FC_crest.svg?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=original
Cardiff City;https://upload.wikimedia.org/wikipedia/sco/3/3c/Cardiff_City_crest.svg
Charlton Athletic;https://upload.wikimedia.org/wikipedia/en/5/5b/Charlton_Athletic.svg
Chelsea FC;https://upload.wikimedia.org/wikipedia/en/c/cc/Chelsea_FC.svg
Coventry City;https://upload.wikimedia.org/wikipedia/en/7/7b/Coventry_City_FC_crest.svg
Crystal Palace FC;https://upload.wikimedia.org/wikipedia/en/a/a2/Crystal_Palace_FC_logo_%282022%29.svg
Derby County;https://upload.wikimedia.org/wikipedia/en/4/4a/Derby_County_crest.svg
FC Arsenal;https://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
FC Burnley;https://upload.wikimedia.org/wikipedia/en/6/6d/Burnley_FC_Logo.svg
FC Everton;https://upload.wikimedia.org/wikipedia/en/7/7c/Everton_FC_logo.svg
FC Fulham;https://upload.wikimedia.org/wikipedia/en/e/eb/Fulham_FC_%28shield%29.svg
FC Liverpool;https://upload.wikimedia.org/wikipedia/en/0/0c/Liverpool_FC.svg
FC Middlesbrough;https://upload.wikimedia.org/wikipedia/en/2/2c/Middlesbrough_FC_crest.svg
FC Portsmouth;https://upload.wikimedia.org/wikipedia/en/3/3c/Portsmouth_FC_crest.svg
FC Reading;https://upload.wikimedia.org/wikipedia/en/1/11/Reading_FC.svg
FC Southampton;https://upload.wikimedia.org/wikipedia/en/c/c9/FC_Southampton.svg
FC Watford;https://upload.wikimedia.org/wikipedia/en/e/e2/Watford.svg
Huddersfield Town;https://upload.wikimedia.org/wikipedia/en/4/43/Huddersfield_Town_AFC_crest.svg
Hull City;https://upload.wikimedia.org/wikipedia/en/5/54/Hull_City_A.F.C._logo.svg
Ipswich Town FC;https://upload.wikimedia.org/wikipedia/en/4/43/Ipswich_Town.svg
Leeds United FC;https://upload.wikimedia.org/wikipedia/en/5/54/Leeds_United_F.C._logo.svg
Leicester City FC;https://upload.wikimedia.org/wikipedia/en/2/2d/Leicester_City_crest.svg
Luton Town;https://upload.wikimedia.org/wikipedia/en/9/9d/Luton_Town_logo.svg
Manchester City FC;https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
Manchester United FC;https://upload.wikimedia.org/wikipedia/en/7/7a/Manchester_United_FC_crest.svg
Newcastle United;https://upload.wikimedia.org/wikipedia/en/5/56/Newcastle_United_Logo.svg
Norwich City;https://upload.wikimedia.org/wikipedia/en/1/17/Norwich_City_FC_logo.svg
Nottingham Forest;https://upload.wikimedia.org/wikipedia/en/e/e5/Nottingham_Forest_F.C._logo.svg
Oldham Athletic;https://upload.wikimedia.org/wikipedia/en/a/a2/Oldham_Athletic_AFC_%28emblem%29.svg?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=original
Queens Park Rangers;https://upload.wikimedia.org/wikipedia/en/3/31/Queens_Park_Rangers_crest.svg
Sheffield United;https://upload.wikimedia.org/wikipedia/en/9/9c/Sheffield_United_FC_logo.svg
Sheffield Wednesday;https://upload.wikimedia.org/wikipedia/en/a/a5/Sheffield_Wednesday.svg
Stoke City;https://upload.wikimedia.org/wikipedia/en/b/bf/Stoke_City_FC_crest_2026.svg
Swansea City AFC;https://upload.wikimedia.org/wikipedia/sco/f/f9/Swansea_City_AFC_logo.svg
Swindon Town FC;https://upload.wikimedia.org/wikipedia/en/a/a3/Swindon_Town_FC.svg
Tottenham Hotspur;https://upload.wikimedia.org/wikipedia/en/b/b4/Tottenham_Hotspur.svg
West Bromwich Albion;https://upload.wikimedia.org/wikipedia/en/8/8b/West_Bromwich_Albion.svg
West Ham United;https://upload.wikimedia.org/wikipedia/en/c/c2/West_Ham_United_FC_logo.svg
Wigan Athletic;https://upload.wikimedia.org/wikipedia/en/4/43/Wigan_Athletic.svg
Wimbledon FC (- 2004);https://upload.wikimedia.org/wikipedia/en/b/b3/Wimbledon_FC_crest.svg
Wolverhampton Wanderers;https://upload.wikimedia.org/wikipedia/en/f/fc/Wolverhampton_Wanderers.svg
